"节点","url","Url正则","title","Title正则","keywords"
"国内机票主页","http://flight.elong.com/                                "," ^/$","【机票】飞机票预订(预定)_机票价格查询_打折特价机票查询_艺龙旅行网",,"机票预订(预定),价格查询,特价打折机票 "
"城市到城市单程(次日/经济舱)","http://flight.elong.com/beijing-shanghai/","^/[a-z]+-[a-z]+/$","【北京到上海经济舱】机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格"
"城市到城市单程(次日/商务舱)","http://flight.elong.com/beijing-shanghai/business.html","^/[a-z]+-[a-z]+/business\.html$","【北京到上海商务舱】机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,商务舱,机票,价格"
"城市到城市时刻表","http://flight.elong.com/beijing-shanghai/timetable.html","^/[a-z]+-[a-z]+/timeable\.html$","【北京到上海航班时刻表】时刻表查询_机票预订_艺龙旅行网",,"北京,上海,北京到上海,航班时刻表,机票"
"城市到城市特价机票","http://flight.elong.com/beijing-shanghai/sale.html","^/[a-z]+-[a-z]+/sale\.html$","【北京到上海特价机票】打折机票_价格查询_机票预订_艺龙旅行网",,"北京,上海,北京到上海,特价打折机票"
"城市到城市单程当天","http://flight.elong.com/beijing-shanghai/day1.html","^/[a-z]+-[a-z]+/day1\.html$","【北京到上海经济舱】当天机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格"
"城市到城市单程第3天","http://flight.elong.com/beijing-shanghai/day3.html","^/[a-z]+-[a-z]+/day3\.html$","【北京到上海经济舱】第三天机票预订_价格查询_艺龙旅行网",,"北京,上海,北京到上海,经济舱,机票,价格"
"城市到城市往返（次日起程三天后返程，经济舱）","http://flight.elong.com/beijing-shanghai-round/","^/[a-z]+-[a-z]+-round/$","【北京到上海经济舱】往返特价机票航班查询_预订_艺龙旅行网",,"北京,上海,北京到上海,经济舱,往返,机票"
"城市到城市往返（次日起程三天后返程，商务舱）","http://flight.elong.com/beijing-shanghai-round/business.html","^/[a-z]+-[a-z]+-round/business\.html$","【北京到上海商务舱】往返特价机票航班查询_预订_艺龙旅行网",,"北京,上海,北京到上海,商务舱,往返,机票"
"特价机票","http://flight.elong.com/beijing-sale.html","^/[a-z]+-sale\.html$","【北京特价机票】打折机票_机票查询预订_艺龙旅行网",,"北京,打折,特价机票"
"航空公司索引","http://flight.elong.com/airlines/","^/airlines/$","【航空公司机票查询】特价打折机票_机票价格查询_预订_艺龙旅行网",,"航空公司机票查询,特价,打折机票,价格"
"xx航空公司","http://flight.elong.com/airlines/cz/","^/airlines/[a-z]+/$","【四川航空】特价打折机票_价格查询_预订_艺龙旅行网",,"四川航空,特价,打折机票"
"航班号","http://flight.elong.com/airlines/cz/cz3280.html","^/airlines/([a-z]+)/\1\d+\.html$","【四川航空航班】丽江到南京_3U8533航班信息_机票查询预订_艺龙旅行网",,"四川航空,丽江到南京,3U8533,机票"
"国内特惠机票","http://flight.elong.com/discount/","^/discount/$","【特惠机票】特惠机票预订_国内打折机票查询预订服务_艺龙旅行网",,"特惠机票,预订(预定)"
"国内特惠机票信息","http://flight.elong.com/discount/cz-1.html","^/discount/[a-z]+-\d+\.html$","【国际航空特惠机票】特惠机票预订_国内打折机票预订服务_艺龙旅行网",,"国际航空特惠机票,预订"
"城市到国际城市单程（三天后、经济舱）","http://iflight.elong.com/beijing-toronto/","^/[a-z]+-[a-z]+/$","【北京到多伦多经济舱】机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,机票,经济舱"
"城市到国际城市单程（三天后，商务舱）","http://iflight.elong.com/beijing-toronto/top.html","^/[a-z]+-[a-z]+/top\.html$","【北京到多伦多商务舱】机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,机票,商务舱"
"城市到国际城市单程当天","http://iflight.elong.com/beijing-toronto/day1.html","^/[a-z]+-[a-z]+/day1\.html$","【北京到多伦多经济舱】当天机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,经济舱,机票"
"城市到国际城市往返（三天后起程六天后返程，经济舱）","http://iflight.elong.com/beijing-toronto-round/","^/[a-z]+-[a-z]+-round/$","【北京到多伦多经济舱】往返机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,经济舱,往返,机票"
"城市到国际城市往返（三天后起程六天后返程、商务舱）","http://iflight.elong.com/beijing-toronto-round/top.html","^/[a-z]+-[a-z]+-round/top\.html$","【北京到多伦多商务舱】往返机票价格_航班查询_机票预订_艺龙旅行网",,"北京,多伦多,北京到多伦多,商务舱,往返,机票"
"国际特价机票","http://iflight.elong.com/sale/","^/sale/$","【国际特价机票】往返打折特价机票预订_价格查询_艺龙旅行网",,"国际特价机票,往返，打折机票"
"国际特价机票-Pn","http://iflight.elong.com/sales/123.html","^/sale/\d+\.html$","【国际特价机票】往返打折特价机票预订_价格查询_100_艺龙旅行网",,"国际特价机票,往返，打折机票"
"城市到国际城市特价机票","http://iflight.elong.com/beijing-toronto/sale.html","^/[a-z]+-[a-z]+/sale\.html$","【北京到东京特价】往返特价机票预订_艺龙旅行网",,"北京,东京,北京到东京特价,机票"
